0,1
和氣食堂 (黃大仙中心南館),正德街103號黃大仙中心南館地下G12A號舖
嘆嘆,龍翔道136號黃大仙中心北館地下G06E-G06G號舖
韓閣,龍翔道136號黃大仙中心北館地下G06E-G06G號舖
星怡,睦鄰街8號現崇山商場地下G1-G2號舖
嚐館,正德街103號黃大仙中心南館地下高層UG41號舖
豪園麵家,睦鄰街8號現崇山商場地下21號舖
文苑飯莊,竹園道55號天馬苑商場2樓S02號舖
上海婆婆,龍翔道136號黃大仙中心北館地下低層LG05號舖
京都大酒樓,龍翔道110號豪苑商場2樓1A-B號舖
金和粥麵館,鳳凰新邨雙鳳街78號地舖
雄興美食,銀鳳街22號
家常麵,鳳凰新村環鳳街11號地舖
大街小館,銀鳳街16號地舖
燒肉LIKE (黃大仙中心南館),正德街103號黃大仙中心南館地下G4B號舖
日常素食,龍翔道136號黃大仙中心北館2樓N201-N202及N226A號舖
越一越南牛肉粉專門店,鳳凰新村環鳳街12號地舖
炑八韓烤 (黃大仙中心南館),正德街103號黃大仙中心南館地下低層LG01號舖
文化烘焙 (黃大仙中心),正德街103號黃大仙中心南館LG樓LG12&12A號舖
亞萊泰 (黃大仙中心北館),龍翔道136號黃大仙中心北館1樓N141號舖
第五街冰室,竹園道15號竹園廣場地下S002號舖
農耕記 湖南土菜 (黃大仙中心北館),龍翔道136號黃大仙中心北館1樓N133-N134號舖
SOYmart by 豆乳狂人,正德街103號黃大仙中心南館地下G10A-G10B號舖
十二味 (黃大仙中心南館),正德街103號黃大仙中心南館1樓101號舖
東京淺草炸雞專門店 (黃大仙中心南館),正德街103號黃大仙中心南館地下G6號舖
&you,正德街103號黃大仙中心南館地下G4D號舖
閣樓市場,龍翔道136號黃大仙中心北館地下G06E-G06G號舖
金記冰室 (黃大仙中心南館),正德街103號黃大仙中心南館地下G9號舖
滬狀元,竹園道15號竹園廣場地下S085號舖
百好名宴,龍翔道110號豪苑中心地下20-28號舖
富臨皇宮,龍翔道120號新光中心3樓
侍元,龍翔道136號黃大仙中心北館1樓N142號舖
euro go go,龍翔道136號黃大仙中心北館L1樓N115號舖
醉和里,正德街熟食亭2號舖
牛奶冰室 (黃大仙中心北館),龍翔道136號黃大仙中心北館地下低層LG04及07號舖
亞金南洋茶室 (黃大仙中心南館),正德街103號黃大仙中心南館1樓132號舖
迷客夏 (黃大仙中心南館),正德街103號黃大仙中心南館地下低層LG3號舖
金滿海鮮坊,鳳凰新村飛鳳街36-40號舖
RUD燒肉 (黃大仙中心北館),龍翔道136號黃大仙中心北館LG樓LG04及07號舖
彩晶軒,睦鄰街8號現崇山商場2樓8號舖
翠園 (黃大仙中心北館),龍翔道136號黃大仙中心北館地下G12號舖
明星海鮮燒鵝專門店,竹園道15號竹園廣場3樓S301-S302號舖
迎樂,銀鳳街9號鳳凰邨大廈地下3號舖
全記(發仔),彩虹道121號大成街街市2樓CF8-10號舖
客滿庭,睦鄰街8號現崇山商場1樓16號舖
友記,鳳凰新村銀鳳街5號鳳凰村大廈地下
壽司郎,龍翔道110號豪苑G3樓翔盈里5號舖
Grove Café,正德街103號黃大仙中心南館UG樓33-36號舖
上海新大眾大閘蟹專門店,飛鳳街46號地舖
上海美味齋飯店,環鳳街19號地舖
御小館,正德街103號黃大仙中心南館1樓122A號舖
上品坊,竹園道15號竹園廣場地下竹園市場98號舖
利豐打冷小廚,正德街熟食亭1A號舖
金大班,竹園南邨第1-4號熟食亭
麵包新語 (黃大仙中心北館),龍翔道136號黃大仙中心北館地下G05號舖
金滿堂甜品,睦鄰街8號現崇山商場地下G20號舖
漁樂 (黃大仙中心南館),正德街103號黃大仙中心南館UG樓UG5號舖
明記粉麵茶餐廳,環鳳街24-28號鳳凰新邨地舖
MOS Cafe,正德街103號黃大仙中心南館地下上層UG46號舖
嚐 . 食,鳳凰新村崇華街2A號地舖
味源車仔麵,銀鳳街13A號地舖
凱泰船屋,竹園道15號竹園廣場地下竹園街市93號舖
譚仔三哥米線,正德街103號黃大仙中心南館1樓131號舖
客館,正德街103號黃大仙中心南館地下G13號舖
親親甜品屋,鳳凰新邨蒲崗村道33號
蘭姐滋味屋,金鳳街2號地舖
健康齋廚,飛鳳街34號地舖
濃記車仔麵,鳳凰新村鳴鳯街14號地舖
聯興茶餐廳,金鳳街3號鳳凰新邨地舖
Whisk Factory,龍翔道110號豪苑G3樓翔盈里1A號舖
大自然素食,睦鄰街8號現崇山商場1樓102-103號舖
靠得住粥麵小館,龍翔道136號黃大仙中心北館1樓N120號舖
一品螞蟻,龍翔道136號黃大仙中心北館地下G13號舖
西記粥店,環鳳街26號地舖
元気寿司,正德街103號黃大仙中心南館地下G4C號舖
天仁茗茶,正德街103號黃大仙中心南館地下G1A號舖
百樂金宴,龍翔道136號黃大仙中心北館2樓N222號舖
美心烘焙所,正德街103號黃大仙中心南館地下G11號舖
意樂餐廳 (黃大仙中心南館),正德街103號黃大仙中心南館L1樓130號舖
譚仔三哥米線,竹園道15號竹園廣場2樓S223號舖
英都燒味廚房,雙鳳街20號鳳凰新邨地舖
銀咖哩,正德街103號黃大仙中心南館地下G7號舖
榮記粉麵,下邨龍樂樓熟食亭2號檔
原燒,鳳凰新村崇華街44號地下
老楊家老壇酸菜魚,銀鳳街4號地舖
農場烤魚火鍋專門店,飛鳳街46號地舖
譚仔雲南米線,"龍翔道120號新光中心2樓253B, 255-257號舖"
富城火鍋海鮮酒家,環鳳街33號鳳祥樓1樓
泰滋味水門雞飯專門店,銀鳳街12號地舖
Chicken Factory (黃大仙中心北館),龍翔道136號黃大仙中心北館地下低層LG04及07號舖
易拎腸粉,慈雲山雙鳳街37A號舖
麥當勞,正德街103號黃大仙中心南館L1樓123號舖
歡樂中式點心,彩虹道121號大成街街市2樓
手作功夫茶 (竹園街市),竹園道15號竹園廣場地下竹園街市W-CY91號舖
喜馬餐室,竹園道55號天馬苑商場2樓S01號舖
麥當勞,竹園道15號竹園廣場2樓S219A號舖
包點先生,正德街103號黃大仙中心南館地下低層LG13號舖
一粥麵,竹園道15號竹園廣場1樓S112號舖
包點料理,環鳳街28-30號地舖
臻煌海鮮城,睦鄰街8號現崇山商場2樓1號舖
點出色,東頭村道183號東頭商場地下SU2-SU3號舖
雙鳳街26-28號地舖,黃大仙 / 港式 / 中式糖水 / $50以下
金銘潮州粉麵 (竹園街市),竹園道15號竹園廣場地下竹園街市58號舖
美心MX (竹園廣場),竹園道15號竹園廣場2樓S216號舖
香港達人 (黃大仙中心南館),正德街103號黃大仙中心南館L1樓122B號舖
大勝燒鵝,鳳德道29號地舖
岱民（彩雲）潮州打冷,清水灣道45號彩雲(一)邨商業大樓二座1-4號熟食檔位
賞茶 (黃大仙中心北館),龍翔道136號黃大仙中心北館地下G04C號舖
梅園餐室,鳳凰新邨銀鳳街24號舖
